Index,ID,Species
2677,2677.jpg,Alnus_Rubra
1497,1497.jpg,Quercus_Crassipes
985,985.jpg,Ilex_Cornuta
1501,1501.jpg,Quercus_Ellipsoidalis
3335,3335.jpg,Ilex_Aquifolium
2850,2850.jpg,Cytisus_Battandieri
1781,1781.jpg,Sorbus_Aria
3093,3093.jpg,Crataegus_Monogyna
2102,2102.jpg,Cornus_Macrophylla
3869,3869.jpg,Zelkova_Serrata
2518,2518.jpg,Quercus_Castaneifolia
405,405.jpg,Alnus_Maximowiczii
647,647.jpg,Alnus_Rubra
2626,2626.jpg,Acer_Circinatum
3726,3726.jpg,Alnus_Maximowiczii
1001,1001.jpg,Zelkova_Serrata
3431,3431.jpg,Acer_Platanoids
3378,3378.jpg,Salix_Intergra
1521,1521.jpg,Ulmus_Bergmanniana
1581,1581.jpg,Quercus_Texana
1118,1118.jpg,Quercus_Castaneifolia
1552,1552.jpg,Quercus_Brantii
1301,1301.jpg,Quercus_Alnifolia
3300,3300.jpg,Prunus_X_Shmittii
3559,3559.jpg,Populus_Adenopoda
2743,2743.jpg,Quercus_Greggii
1004,1004.jpg,Quercus_Afares
1163,1163.jpg,Morus_Nigra
1176,1176.jpg,Acer_Palmatum
3082,3082.jpg,Acer_Capillipes
1668,1668.jpg,Quercus_Hartwissiana
3070,3070.jpg,Betula_Austrosinensis
3802,3802.jpg,Tilia_Tomentosa
1976,1976.jpg,Magnolia_Salicifolia
414,414.jpg,Cornus_Macrophylla
623,623.jpg,Prunus_Avium
1712,1712.jpg,Sorbus_Aria
2430,2430.jpg,Cornus_Chinensis
1209,1209.jpg,Populus_Adenopoda
3537,3537.jpg,Quercus_Cerris
724,724.jpg,Acer_Rubrum
498,498.jpg,Ginkgo_Biloba
1572,1572.jpg,Quercus_Chrysolepis
3101,3101.jpg,Acer_Circinatum
1937,1937.jpg,Acer_Mono
55,55.jpg,Quercus_Trojana
2946,2946.jpg,Quercus_x_Hispanica
3341,3341.jpg,Acer_Capillipes
3790,3790.jpg,Quercus_x_Turneri
1417,1417.jpg,Acer_Rubrum
2369,2369.jpg,Ulmus_Bergmanniana
3184,3184.jpg,Acer_Pictum
2544,2544.jpg,Quercus_Dolicholepis
3883,3883.jpg,Prunus_X_Shmittii
3895,3895.jpg,Lithocarpus_Edulis
928,928.jpg,Quercus_x_Turneri
134,134.jpg,Tilia_Platyphyllos
3683,3683.jpg,Quercus_Coccifera
2876,2876.jpg,Morus_Nigra
3787,3787.jpg,Quercus_Afares
798,798.jpg,Quercus_Suber
3387,3387.jpg,Salix_Intergra
45,45.jpg,Cornus_Controversa
3454,3454.jpg,Viburnum_Tinus
2612,2612.jpg,Acer_Circinatum
2461,2461.jpg,Quercus_Ellipsoidalis
75,75.jpg,Quercus_Palustris
3501,3501.jpg,Ulmus_Bergmanniana
3413,3413.jpg,Quercus_Nigra
3943,3943.jpg,Acer_Mono
3355,3355.jpg,Quercus_Coccifera
2419,2419.jpg,Zelkova_Serrata
486,486.jpg,Ilex_Cornuta
319,319.jpg,Phildelphus
1749,1749.jpg,Quercus_Cerris
1982,1982.jpg,Pterocarya_Stenoptera
838,838.jpg,Eucalyptus_Urnigera
2183,2183.jpg,Quercus_Ellipsoidalis
2038,2038.jpg,Cercis_Siliquastrum
2521,2521.jpg,Quercus_Variabilis
2898,2898.jpg,Viburnum_x_Rhytidophylloides
1172,1172.jpg,Quercus_Trojana
3804,3804.jpg,Quercus_Infectoria_sub
2938,2938.jpg,Ginkgo_Biloba
582,582.jpg,Quercus_Chrysolepis
1495,1495.jpg,Quercus_Suber
528,528.jpg,Quercus_Kewensis
3293,3293.jpg,Quercus_x_Hispanica
468,468.jpg,Pterocarya_Stenoptera
1912,1912.jpg,Quercus_Chrysolepis
1317,1317.jpg,Zelkova_Serrata
1218,1218.jpg,Quercus_Crassifolia
3900,3900.jpg,Prunus_X_Shmittii
485,485.jpg,Alnus_Sieboldiana
583,583.jpg,Prunus_Avium
1550,1550.jpg,Alnus_Maximowiczii
1151,1151.jpg,Quercus_x_Turneri
274,274.jpg,Quercus_Brantii
2352,2352.jpg,Cornus_Controversa
3370,3370.jpg,Populus_Adenopoda
1346,1346.jpg,Lithocarpus_Cleistocarpus
3572,3572.jpg,Quercus_Afares
3007,3007.jpg,Cercis_Siliquastrum
670,670.jpg,Tilia_Oliveri
1561,1561.jpg,Lithocarpus_Cleistocarpus
1892,1892.jpg,Ulmus_Bergmanniana
2416,2416.jpg,Sorbus_Aria
1087,1087.jpg,Celtis_Koraiensis
19,19.jpg,Quercus_Pubescens
172,172.jpg,Quercus_Pubescens
2965,2965.jpg,Ilex_Cornuta
1048,1048.jpg,Cercis_Siliquastrum
2224,2224.jpg,Lithocarpus_Edulis
888,888.jpg,Quercus_Shumardii
1593,1593.jpg,Acer_Pictum
111,111.jpg,Arundinaria_Simonii
947,947.jpg,Acer_Mono
1705,1705.jpg,Quercus_x_Turneri
1251,1251.jpg,Quercus_Pontica
1861,1861.jpg,Betula_Pendula
3894,3894.jpg,Tilia_Oliveri
3830,3830.jpg,Acer_Capillipes
1198,1198.jpg,Quercus_Palustris
2857,2857.jpg,Quercus_Semecarpifolia
3112,3112.jpg,Ilex_Aquifolium
3546,3546.jpg,Acer_Pictum
3887,3887.jpg,Betula_Pendula
1094,1094.jpg,Alnus_Cordata
987,987.jpg,Acer_Pictum
1448,1448.jpg,Magnolia_Salicifolia
884,884.jpg,Prunus_X_Shmittii
2358,2358.jpg,Betula_Pendula
620,620.jpg,Morus_Nigra
2875,2875.jpg,Ilex_Aquifolium
1232,1232.jpg,Acer_Platanoids
1964,1964.jpg,Quercus_Vulcanica
208,208.jpg,Quercus_Palustris
3699,3699.jpg,Quercus_Pyrenaica
1491,1491.jpg,Magnolia_Heptapeta
2710,2710.jpg,Quercus_Hartwissiana
3375,3375.jpg,Alnus_Maximowiczii
374,374.jpg,Lithocarpus_Edulis
152,152.jpg,Quercus_Imbricaria
3136,3136.jpg,Eucalyptus_Glaucescens
276,276.jpg,Populus_Adenopoda
1656,1656.jpg,Betula_Pendula
2724,2724.jpg,Liquidambar_Styraciflua
79,79.jpg,Quercus_Canariensis
2465,2465.jpg,Alnus_Sieboldiana
1062,1062.jpg,Liquidambar_Styraciflua
2002,2002.jpg,Quercus_Variabilis
1018,1018.jpg,Cornus_Chinensis
474,474.jpg,Castanea_Sativa
2045,2045.jpg,Quercus_Semecarpifolia
2013,2013.jpg,Tilia_Tomentosa
1332,1332.jpg,Populus_Grandidentata
2437,2437.jpg,Magnolia_Salicifolia
113,113.jpg,Quercus_Kewensis
3601,3601.jpg,Quercus_Brantii
2640,2640.jpg,Acer_Palmatum
3439,3439.jpg,Acer_Saccharinum
1260,1260.jpg,Quercus_Shumardii
1634,1634.jpg,Quercus_Trojana
2474,2474.jpg,Quercus_Hartwissiana
2433,2433.jpg,Sorbus_Aria
923,923.jpg,Quercus_Greggii
470,470.jpg,Callicarpa_Bodinieri
